Artigo,Data,Kg
AMOSTRAS DE FIOS TXT 100%PA BOBINA CRU,01/01/2010,4914
ELASTANO 40DEN(4.4TEX) 100%PUE BR,02/01/2010,4894
CHUVISCO 165/48DEN(18.3TEX) 100%PES SO,02/01/2010,1439
PES FIADO 120 - 5.000mt 100%PES  - VERDE ESCURO,03/01/2010,1400
ELASTANO 40/3DEN(4.4TEX) 100%PUE SO,04/01/2010,4011
ELASTANO 70DEN(7.8TEX) 100%PUE SO,05/01/2010,2392
GENTOS 65/204DEN(7.2TEX) 100%PES SO,05/01/2010,2290
PES FIADO 120 - 5.000mt 100%PES  - BRANCO,05/01/2010,800
CV/CL CONV. 30/1NE(19.8TEX) 80%CV 20%CL,05/01/2010,3277
DTY 75/34DEN(8.3TEX) 2H 0T 100%PES SO,06/01/2010,3832
CMD/CO CONV. 30/1NE(19.8TEX) 50%CMD 50%CO,07/01/2010,2801
SDY 300/10DEN(33.3TEX) 100%PES SO,08/01/2010,4438
POY 275/48DEN(30.6TEX) 100%PES SO,08/01/2010,1568
FIO MX-1/92 187DEN(20.8TEX) 73%PES 27%PA BR,09/01/2010,1197
CV/WO CONV. 30/1NE(19.8TEX) 80%CV 20%WO,09/01/2010,4852
PES/CV MVS 28/1NE(21.2TEX) 67%PES 33%CV,10/01/2010,227
DTY 75/36DEN(8.3TEX) 100%PA SO,11/01/2010,401
DTY 75/144DEN(8.3TEX) 2H 100%PES SO,12/01/2010,988
FITA MX-1/69 64DEN(7.1TEX) 100%PES BR,12/01/2010,4699
ELASTANO 30DEN(3.3TEX) 100%PUE BR,12/01/2010,2106
DTY 150/48DEN(16.7TEX) 2H 0T 100%PES SO,13/01/2010,2367
POY 275/48DEN(30.6TEX) 100%PES SO,14/01/2010,3043
DTY 2X200/48DEN(44.4TEX) 100%PES SO,14/01/2010,228
LINACEO 300/96DEN(33.3TEX) 100%PES BR,14/01/2010,1129
ALGODAO OE 26/1NE(22.7TEX) 100%CO,14/01/2010,3579
SALDO DE POY PES100%,15/01/2010,4803
PES FIADO OE 30/1NE(19.8TEX) 100%PES,16/01/2010,968
CANCELADO-RESIDUO DE FIO-MX  PES52% PA48% SACOS,17/01/2010,496
TREND-R 207/51DEN(23TEX) 93%PES 7%PUE SO,17/01/2010,599
SDY 45/36DEN(5TEX) 100%PES SO,18/01/2010,466
RED SPIN 90/21DEN(10TEX) 300T 93%PA 7%PUE SO,19/01/2010,2781
DTY 150/48DEN(16.7TEX) 2H 0T 100%PES SO,19/01/2010,2639
SDY 200/10DEN(22.2TEX) 100%PES SO,20/01/2010,1831
DTY 78/72DEN(8.7TEX) 100%PA(PA 6) FD,21/01/2010,855
CV/PES OE 30/1NE(19.8TEX) 96%CV 4%PES,22/01/2010,2830
ELASTANO 20DEN(2.2TEX) 100%PUE BR,22/01/2010,373
SDY 45/36DEN(5TEX) 100%PES SO,23/01/2010,488
ALGODAO CONV. 40/1NE(14.9TEX) 100%CO,23/01/2010,1538
DTY 2X100/68(11.1TEX) MI 100%PA SO,24/01/2010,1827
PES FIADO CONV. 30/1NE(19.8TEX) 100%PES,24/01/2010,1446
FIO MX-1/92 187DEN(20.8TEX) 73%PES 27%PA BR,24/01/2010,4409
FIO MX-1/100 110DEN(12.2TEX) 60%PES 40%MT BR,24/01/2010,4687
POY 130/72DEN(14.4TEX) 100%PES FD,25/01/2010,88
ELASTANO 40DEN(4.4TEX) 100%PUE SO,25/01/2010,489
ALGODAO PENTEADO 36/1NE(16.5TEX) 100%CO,25/01/2010,2262
DTY TP 75/34DEN(8.3TEX) 2H LI 100%PES SO,26/01/2010,745
PES FIADO CONV. 40/1NE(14.9TEX) 100%PES,27/01/2010,4242
GENTOS 130/384DEN(14.4TEX) 100%PES SO,28/01/2010,454
POY 250/96DEN(27.8TEX) 100%PES SO,28/01/2010,2947
DTY 70/36DEN(7.8TEX) 0T 100%PES SO,28/01/2010,1604
DTY 70/68DEN(7.8TEX) 100%PA(PA 6) SO,29/01/2010,2517
FIO MX-1/100 87DEN(9.7TEX) 52%PES 48%PA BR,29/01/2010,3721
ESPOL-S 150/72DEN(16.7TEX) 100%PES SO,29/01/2010,288
ALGODAO FLAME CONV. 30/1NE(19.8TEX) 100%CO,29/01/2010,601
CRISPY 20DEN(2.2TEX) 100%PES SO,30/01/2010,838
VISCOSE OE 36/1NE(16.5TEX) 100%CV,30/01/2010,4728
ALGODAO PENTEADO 40/1NE(14.9TEX) 100%CO,30/01/2010,2404
PES FIADO 120 - 5.000mt 100%PES  - PRETO,31/01/2010,2259
LINACEO 150/96DEN(16.7TEX) 0T 100%PES SO,01/02/2010,4893
DTY 70/72DEN(7.8TEX) 100%PA FD,01/02/2010,248
DTY 75/72DEN(8.3TEX) 0T 100%PES SO,02/02/2010,496
ELASTANO 20/1DEN(2.2TEX) 100%PUE SO,03/02/2010,1548
DIAMANTE 80/12DEN(8.9TEX) 100%PES BR,03/02/2010,2601
ALGODAO PENT. COMPAC 40/1NE(14.9TEX) 100%CO,04/02/2010,4306
GENTOS 130/384DEN(14.4TEX) 100%PES SO,05/02/2010,4789
BAMBOO CONV. 40/1NE(14.9TEX) 100%CV,05/02/2010,3500
RENOVASPIN B 190/60DEN(21.1TEX) 1000T 100%PES SO,06/02/2010,2535
DTY TP 75/34DEN(8.3TEX) 2H LI 100%PES SO,06/02/2010,2180
VISCOSE OE 30/1NE(19.8TEX) 100%CV,07/02/2010,1109
LINACEO 150/96DEN(16.7TEX) 0T 100%PES SO,07/02/2010,2706
CHUVISCO 150/48DEN(16.7TEX) 100%PES SO,07/02/2010,1983
FIO MX-1/187 60DEN(6.7TEX) 65%PA 35%FIBRA METALIZADA BR,08/02/2010,4075
ELASTANO 90/6DEN(10TEX) 100%PUE SO,09/02/2010,4158
SDY 30DEN(3.3TEX) 100%PES SO,10/02/2010,1617
DTY 2X70/68DEN(15.6TEX) 100%PA(PA 6.6) SO,10/02/2010,2318
AMOSTRAS DE FIOS TXT 100%PA BOBINA CRU,11/02/2010,2350
FIO MX-1/92 187DEN(20.8TEX) 73%PES 27%PA BR,11/02/2010,755
PES/CV MVS 28/1NE(21.2TEX) 67%PES 33%CV,12/02/2010,2833
FIO MX-1/100 55DEN(6.1TEX) 59%PA 41%PES BR,12/02/2010,2846
PES/CV MVS 30/1NE(19.8TEX) 65%PES 35%CV,12/02/2010,3723
POY 125/72DEN(13.9TEX) 100%PES SO,13/02/2010,3116
CV/PES CONV. 30/1NE(19.8TEX) 90%CV 10%PES,13/02/2010,3398
BAMBOO CONV. 30/1NE(19.8TEX) 67%CV 33%PA,14/02/2010,79
FIO MX-1/100 DYEING 110DEN(12.2TEX) 55%PES 45%FIBRA METALIZADA BR,14/02/2010,3470
SDY 50/1DEN(5.6TEX) 100%PES SO,14/02/2010,247
DTY 75/72DEN(8.3TEX) 0T 100%PES SO,15/02/2010,1953
AMOSTRAS DE FIOS TXT 100%PA BOBINA CRU,16/02/2010,1498
ESPOL-S 150/72DEN(16.7TEX) 100%PES SO,16/02/2010,339
DTY 150/144DEN(16.7TEX) 2H MI 100%PES SO,17/02/2010,2895
SDY 300/10DEN(33.3TEX) 100%PES SO,18/02/2010,1444
DTY 2X70/24DEN(15.6TEX) 100%PA(PA 6) SO,19/02/2010,558
FIO MX-1/139 65DEN(7.2TEX) 52%PA 48%FIBRA METALIZADA BR,19/02/2010,2739
SDY 100/36DEN(11.1TEX) 100%PES SO,20/02/2010,210
